rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
14530,benjamin,johnson,47,crozier circuit,merridong,castle hill,2720,nsw,19301101,38,04 15892561,5749730,8
1810,jacinta,quinn,21,ern florence crescent,,westleigh,4217,nsw,19030402,,04 21283779,6505490,8
11240,jack,greatwich,440,o'connell street,,cabramatta west,5320,vic,19170807,34,02 42086052,1064417,9
5110,madeleine,bate,17,akhurst grove,wiltara,carrara,6006,wa,19240807,32,03 44203582,8172048,9
3480,benjamin,johnston,24,fihelly street,springfield,yagoona,4104,,19200509,27,08 15880126,9276835,8
1610,cooper,preston,64,maranboy street,tusca,randwick,2482,qld,19560330,25,04 59711044,8843758,7
19080,jasper,reardon,92,dooring street,,cranbourne,4105,vic,,33,03 30722436,9535791,5
6230,stella,cole,50,erskine street,,glen huntly,3064,qld,19170714,26,04 94840457,9327014,6
24340,andrew,stewart,16,antis street,,kerang,3174,nsw,,22,04 70471580,5783251,0
11510,ryan,langley,681,van raalte place,tumut river estate,bolwarra,2287,nsw,19310120,32,03 85264494,9023331,9
20340,finn,hagg,19,see place,,marrickville,3065,qld,19070729,,08 93795994,4572884,0
23010,grace,xian,23,,,kippa-ring,3912,vic,19310302,28,08 32655498,1829950,1
10540,benjamin,lancaster,36,bellingham crescent,,ashgrove,6107,qld,19721008,38,03 13715331,5938546,0
13350,juliana,warner,84,dixon drive,,regents park,3340,,19200327,35,07 39517373,3321208,2
18400,joel,woolley,106,ahmatt street,,asquith,5158,sa,19611212,37,04 56234776,7001448,1
19210,chloe,allen,8,light street,,cadell,2176,nsw,,25,08 29383203,1763331,6
23830,joshua,leavey,9,,showcase on the beach,echuca,0800,nt,19250820,29,04 18289774,6363702,9
12630,ebony,formato,153,wuronga hill street,,busselton west,2011,nsw,19860319,,03 82017139,5134316,3
22380,isabelle,sofour,105,tantangara street,,browns plains,3186,sa,19010918,31,,7047343,2
8120,imogen,goninon,19,freda bennett circuit,karingal,hazelbrook,3192,wa,19520219,,08 62233913,5005872,6
13810,riley,smith,14,forbes street,,mosman,2871,qld,19550911,27,03 78277569,9081019,4
20790,gus,giles,8,mckillop circuit,,kelmscott,2580,vic,19600913,28,08 78567027,7079076,2
20040,james,scholten,115,monaro crescent,,doomben,6432,wa,19800627,20,03 85026279,5614250,0
13930,callum,burke,39,wanliss street,cedarview,dural,2830,,19590729,20,08 56858667,4269555,1
20840,patrick,toll,19,investigator street,,jurien bay,2257,qld,19881125,27,,7380082,5
6140,zachary,hooper,18,pennefather street,,kooyong,3844,nsw,19360427,29,08 80245713,4872569,1
11660,jacob,goldsack,27,miller street,,chipping norton,2539,nsw,19730126,33,03 36564679,5474188,2
14430,anari,quinn,3,manna close,glenesk,coffs harbour,3084,nsw,19531215,,08 79855773,1263298,9
18630,shai,mcdonald,17,olliff place,,reservoir,3059,wa,,35,04 25531388,1795049,2
20780,harrison,woods,131,michael holt crescent,,murray bridge,5086,qld,19221021,,08 47291925,6657330,2
19850,thomas,haggett,56,yumba avenue,warriewood,lamberts beach,4505,,19550303,,02 14896924,6297619,3
23220,destynii,slobodjanac,40,hosking place,,currumbin waters,2315,tas,,36,07 64434403,6247866,9
13080,kye,vink,28,woolner circuit,,lake illawarra,,vic,19070609,,08 49625877,5186705,1
12770,william,anderson,7,ratcliffe crescent,,naracoorte,2064,sa,19000410,36,02 20948068,2471135,2
5020,kyle,boyd,82,atherton street,ironbark,cecil park,4670,wa,19740726,,03 86043347,6601569,7
24750,liam,hoskins,18,stace place,swan cottage homes,gorokan,5032,vic,19430525,,02 98821125,5079463,9
11350,louise,marshall,30,ulm street,,wagga wagga,2096,,19630416,31,07 00553146,7771045,0
23380,tabitha,hunter,96,towns crescent,,wantirna south,3167,,19110526,,04 03236154,3562508,4
11210,alexander,savoy,39,britten-jones drive,eticup,ambarvale,7170,vic,,22,08 04505505,7625443,8
8360,daniel,ranson,56,derrington crescent,,forge creek,3152,nsw,19740121,30,07 67154043,6473631,8
3300,danielle,woon,11,shackleton circuit,,orbost,2420,nsw,19691030,26,04 55189700,6663250,9
22500,mitchell,wilsdon,19,matina street,marriott downs,lane cove,4304,vic,19901110,29,03 73340765,8789221,9
20020,andrew,masters,13,crisp circuit,maryantha station,grafton,4305,vic,19970416,30,04 84119928,4340495,6
4600,henry,trotter,7,somers crescent,,turramurra,6024,nsw,19570327,28,03 44769968,1738285,9
7090,ellen,milton,71,florence fuller crescent,trotng stud,peterborough,2152,qld,19620920,29,08 37579378,2100715,3
9160,antonio,hawes,59,sharp place,,werrington,6100,sa,19260707,20,02 17977557,2182757,2
8580,tiahnee,peter,300,weavers crescent,,parndana,4870,nsw,19690803,20,04 10190884,1642749,6
13650,lukas,rogers,109,wanliss street,,gowrie,2164,qld,19921024,37,07 23655040,8511213,0
5070,ronan,mchugh,1090,clemenger street,swanston homestead,mullumbimby,6152,nsw,19550826,,07 65039724,3918876,0
20310,archer,coulson,147,dobson place,,lauderdale,7010,qld,19630919,,,2465996,3
24390,adrian,strange,1,burdekin street,port 112,warners bay,2160,sa,19190627,36,04 40141438,7835450,2
19580,jayme,sutcliffe,112,oldfield circuit,gummy gully,hunters hill,3142,vic,19020929,24,03 88771500,2068810,8
22930,jayden,howie,19,tank street,,blakehurst,4300,nsw,19710525,,04 75528026,2588440,4
6790,imogen,walker,9,matcham place,,uranquinty,6020,vic,19501024,31,,8708744,6
18300,talia,,16,gratwick street,st marks court,shepparton,4114,vic,19061121,28,02 41576942,7626631,6
6030,freya,de sa,1104,fraenkel street,,gulargambone,6056,vic,19400906,31,04 48942226,8453618,8
16870,francesco,collier,5,gleeson place,,oaklands park,2502,nsw,19920620,34,04 09982288,5340203,7
7920,joshua,marcus,16,allambee street,,croydon,2162,vic,19460125,24,08 37642618,1966728,5
14480,lily,dickson,12,leist street,,terrey hills,2021,wa,19750228,31,07 74138966,1759535,0
9390,adam,muir,202,nunki place,the village,happy valley,7321,qld,19720404,37,03 61791027,3184350,4
3810,taliah,kalidonis,65,packer street,,berwick,2065,vic,19270225,26,03 54166141,1812373,7
13470,mya,davidson,8,tallon place,,coburg,3620,nsw,19991209,32,08 69352000,3614368,3
21420,naomi,walker,6,rohan rivett crescent,,bidwill,3189,sa,19810622,33,08 11861184,2457437,6
14000,alysha,pinyon,72,,,baxter,2161,nsw,19860402,24,04 96098063,5235807,3
15050,joshua,pratt,5,,,goulburn,6111,wa,19971113,32,02 37811207,7475457,5
16940,abbey,jauncey,2,,tallowood park,warrawee,2641,,19380114,36,08 67777966,8865206,8
12010,liam,wrobel,19,piper street,ballara,nakara,0820,sa,19511202,32,02 23618792,3031008,6
21610,oliver,conidi,46,torrens street,yukana retirement village,cecil hills,6108,nsw,19181210,30,08 82975549,4194050,0
760,alexander,effenberger,215,sampson close,galleria building,sawtell,6109,nsw,19520125,27,08 52339579,9909424,6
3230,alexandra,corcoran,,lynch street,posetto,browns plains,2152,,19631001,33,08 80190560,2058176,5
8300,,fischer,43,brown street,,deeragun,2758,nsw,,29,04 34887973,4490942,6
9510,tahlia,schultz,17,robertson street,aceland poll hereford stud,gembrook,3564,nsw,19071123,27,,7398815,8
11190,chloe,standen,5,dewar place,corralea oaks,southport,5014,nsw,19931225,,08 87823149,1399040,5
15380,vanessa,mcknight,740,dexter street,,surrey hills,3691,,19461129,30,07 66488305,6683672,4
1320,alisha,eyre,123,canning street,glenbach,dunlop,3977,qld,19190806,34,08 77881969,2328018,4
17070,courtney,hill,67,duffy street,sun valley,nambour,4680,nsw,19370703,28,07 76834822,5334101,2
17250,charlotte,payne,16,burhop close,,windsor gardens,2602,nsw,19151027,30,03 80438079,7847486,9
23470,isabel,adomeit,12,winstanley street,,paralowie,3175,nsw,19661014,29,08 14368907,9772764,3
10720,leo,altomare,1,enid lorimer circuit,principals residence,doncaster,,wa,19750614,31,02 02452563,7373679,5
21410,harrison,brown,7,macleay street,,toowoomba,2026,wa,19550908,32,07 82145436,3984416,3
11530,georgia,treleaven,81,lackey place,,bundoora,3109,qld,19670702,25,02 42591054,5600828,5
21710,jack,robinson,1,eldon place,,ungarie,3032,nsw,19870818,35,08 02693896,4152526,8
17500,sascha,wyatt,29,launceston street,,sandgate,4735,,19040918,37,07 43828971,2638959,3
4670,sian,axelsen,39,woolner circuit,seabird caravan park,kings meadows,5072,nsw,19170706,34,03 65682864,8946016,6
5050,jacob,liu,32,sheaffe street,,salisbury east,7006,wa,19000419,29,02 41900851,3464255,4
20990,olivia,watson,7,tangari street,,gymea bay,3380,qld,19690201,32,07 48056792,5742920,9
20450,giuliana,curtis,6,biraban place,glen house,,2261,vic,19160402,,08 20404054,5049372,7
20100,harry,hurrell,8,george street,narranghi,mount pritchard,4216,vic,19391019,,02 43806629,6959778,4
3660,will,wilson,86,bernacchi street,yuruga,petersham,2790,qld,19801217,,03 34959631,1696107,5
9760,keahley,horgan,20,sargood street,,engadine,7320,qld,19940409,,08 44514154,6044465,0
6080,benjamin,morgan,21,noakes court,,runcorn,2046,vic,19751030,30,03 96199748,1809809,9
8080,jasmine,norman,,mount vernon drive,,melbourne,3088,nsw,19970519,30,03 32952800,9496359,3
1470,joshua,wilson,14,charvin court,,rozelle,4655,nsw,19651120,,08 14912780,8527179,6
770,riley,hower,10,miller street,yoongaloo,mildura,7270,sa,19431211,23,08 71584448,3399895,5
21690,maya,bowen,12,belconnen way,ivanhoe,fernbank,6076,nsw,,27,02 00460404,3988632,6
2810,bailey,goodsell,37,parry place,,fairlight,3078,nsw,19690630,,03 67182256,3011870,0
23920,lily,sturm,320,mermaid street,wandinong,mosman park,2034,nsw,19190824,21,03 64545178,5657600,3
9600,mia,plenty,1,jensen street,,sans souci,2097,nsw,19580727,30,08 17035106,5142243,3
20440,jemma,hubbard,117,carroll street,,heidelberg west,6000,nsw,19090619,,02 20742214,9884201,0
17130,thomas,dawe,111,alpen street,,albury,3550,nsw,19831220,34,04 06097760,3920235,9
23740,fyynlay,delphin,75,sid barnes crescent,dursley,annandale,7008,tas,19850423,25,03 56217365,3556284,3
23200,emiily,mleczko,38,officer crescent,,merrimac,6062,nsw,,,03 81956896,3636278,7
23680,william,baciarni,8,port jackson circuit,heathglen village,midway point,2583,nsw,19290905,,07 05062969,1224686,2
3610,cassandra,hoogenhout,29,hunter street,,loxton,2483,wa,19700926,22,08 56858191,3031203,8
20410,timara,thursby,15,jacoby place,,double bay,2224,vic,19770830,36,04 59708458,5251676,9
18530,tiana,minic,20,waterman place,,wilberforce,2032,nsw,19451011,34,03 71000571,9497178,5
2950,anneliese,oneil,20,smyth place,,burwood,2540,nsw,19501114,36,08 11932691,8041841,0
20890,lucas,west,6,darwinia terrace,specialist medcl centre,paddington,6018,vic,19620714,32,,4855551,2
20920,ryan,kotz,15,,tuckworth est,jesmond,5071,nsw,19300605,31,04 35387569,6749038,0
9410,tristan,gibson,379,millen street,rowan park,st lucia,6163,vic,19120704,20,02 11619938,5093671,6
8510,max,howard,24,parker street,buderim garden,goulburn,2570,nsw,19270116,20,04 16344468,2855136,0
13630,alexandra,richards,52,o'reilly street,swan cottage homes,bracken ridge,3913,qld,19851231,26,07 03429345,2897009,7
22920,bradley,fitzgerald,29,eggleston crescent,,magra,6728,nsw,19840428,37,08 88184383,3294858,8
6120,joshua,gibbs,25,thomson street,,mount louisa,2318,nsw,19661216,26,02 10414209,6874589,3
16960,henry,white,84,lowanna street,swan cottage homes,ashfield,2290,vic,19230626,34,08 69134653,2650612,3
8210,dylan,whitehair,141,burara crescent,,kambah,2122,,19990415,19,07 92128357,9421617,1
16850,caitlin,gray,157,ambalindum street,,edmonton,4212,nsw,,30,04 78429686,1834146,2
21070,kieran,neal,16,rentoul place,mill hand,lakemba,3079,vic,19490601,33,02 41514293,1273893,4
19780,emma,simmons,329,deumonga court,gunnawarra,chifley,6111,vic,19020518,,03 61430829,8606237,7
9680,luke,best,17,vasey crescent,,preston,2870,qld,19390524,27,04 11758608,4685416,1
15600,ethan,window,41,burraly court,,pindimar,7052,qld,19571211,21,08 03182895,8684002,3
9490,holly,rew,20,namadgi circuit,,dernancourt,3136,wa,19020810,23,03 05476902,2144675,2
10850,luke,downes,54,namatjira drive,,montmorency,2560,vic,19831001,29,04 69790290,4850276,2
18800,amy,yarlett,40,nelumbo street,rothwood garden,causeway lake,3022,,19790129,32,08 85034255,2762657,1
14720,alexander,dionisio,4,loban court,,goodwood,4019,nsw,19911221,19,08 66627281,7766758,3
11140,luke,leonard,42,bainbridge close,,yamanto,3350,sa,19261015,23,02 05517593,8578104,5
17990,zakariah,looby,2,william wilkins crescent,,kootingal,6057,qld,19480813,31,07 08926514,9574598,0
9800,thomas,brock,33,howitt street,hill crest,williamstown north,6042,qld,19850413,,02 67029307,2401300,5
3210,flynn,gummow,6,illingworth street,apt 7,doncaster east,3465,nsw,19850317,41,08 32970515,9933975,1
260,jake,willan,64,sumner place,,wentworth falls,2575,vic,,22,07 51640938,1558812,1
12340,noah,pye,4,fellows street,jingara,carina heights,3193,wa,19740304,26,07 43105732,8011299,0
23330,harrison,pope,40,shackell place,,mount warrigal,5608,,19350305,30,08 93251227,5490357,3
8520,lauren,harper,85,schubert place,,shalvey,,wa,19450429,34,03 88350019,8915935,4
10130,kira,burr,32,rosman circuit,stanbray farms,catherine field,6058,vic,19620802,30,08 45573588,4538273,2
1140,sophie,harvey,102,caley crescent,,batehaven,3685,nsw,19841010,33,02 06006686,1229232,2
18740,stephanie,beltrame,1,ferber place,,gosnells,5098,nsw,19660105,34,08 51710274,2473834,5
1120,mia,neale,34,blackwood terrace,,st lucia,3021,vic,,35,04 48505065,5723786,3
17900,zoe,spooner,9,dexter street,borec house,huntingdale,2223,qld,19361114,28,02 57361202,8650718,7
4100,annabel,robins,28,allchin circuit,,north beach,2160,,19020404,19,07 88371704,1185865,9
16510,katelyn,archdall,11,arabana street,,waikiki,4305,vic,19410111,22,02 09230391,2118375,7
10930,joel,courtney,3277,lambrigg street,kitelands,plympton north,5221,nsw,19781213,18,02 76997173,1083595,9
1900,caitlin,fidanza,44,hannam place,denarque,reservoir,2168,wa,19811103,26,07 20874924,2390500,1
18560,matilda,trussler,53,mount vernon drive,aldinga central shopping centre,glen waverley,2104,vic,19941223,,07 66011417,8871084,8
9330,timothy,mclaughlin,,badenoch crescent,,werribee,4218,wa,19970710,29,07 24058293,9344301,3
18040,anneliese,laube,240,brinkley circuit,riverglades resort,ettalong,4207,nsw,19940425,32,02 10212936,9197928,7
6370,bridget,stanton,48,neilson street,holmville,ipswich,3305,qld,19630815,21,08 36153484,8321560,9
19800,nacoya,,15,balamara street,,ashmore,3044,qld,19100126,37,,8509043,8
2360,lachlan,handley,16,,glenulla,blackheath,7248,vic,19370111,24,07 30379927,1878674,4
8730,madison,rutherford,36,coverdale street,riley house,stratford,3195,qld,19650112,37,,5878464,6
8000,emiily,heinrich,9,reibey place,,broken hill,6110,nsw,19920629,25,02 19110687,4086109,4
13920,molly,farmer,120,blackwell circuit,yungera,gagebrook,4060,vic,19941112,,02 32069381,2043910,1
16030,abii,thain,24,wilson crescent,st francis village,grenfell,4216,sa,19190823,32,07 25988805,9045632,9
9570,matisse,martin,125,clyne place,,davistown,3093,nsw,19990712,20,07 50149970,4826256,4
16700,jamie,robinson,12,gillies street,,goonellabah,2298,qld,19950608,25,08 82985856,4323103,3
9830,emiily,wells,15,,,kallangur,3465,vic,19140520,27,03 89715845,9367370,5
16080,emiily,oxford,6,pinkerton circuit,,carina,2165,sa,,,08 38014758,7782771,7
8570,william,stuart,5,mcluckie crescent,,keilor downs,3088,sa,,30,08 64417995,9563153,0
7900,lauren,barrett,3,beardsmore place,,stirling north,2777,vic,19840407,21,03 86503356,9062395,0
8330,alexander,patterson,31,barrett street,bellridge,geographe,2440,vic,19061104,27,02 57593688,8185635,6
4790,beau,robson,72,colleano street,,bondi,2482,qld,19860322,36,04 21069238,8300553,1
16600,daniel,milesi,19,luehmann street,the falls,ashfield,2350,vic,19380414,27,03 46822747,9912172,0
9120,grace,kargas,16,harry hopman circuit,melvern,belgrave,7007,qld,19021119,38,02 76597971,7678746,1
21180,blake,pedler,5,knox street,,morley,3555,qld,19190125,23,,3472325,2
5560,luke,humphris,126,simpson street,sloop lagoon,kallangur,4816,nsw,19680121,29,02 07301866,5022553,6
2720,shana,feltham,66,diamantina crescent,evergreen,vaucluse,7270,vic,19441216,26,02 00323572,8401558,4
9720,crystal,christian,373,pimpampa close,sunnyvale,toowoomba,2076,,,28,,3663393,0
15220,joshua,helyar-drewes,8,,,prahran east,,vic,19520909,,08 01925101,5409432,4
6810,elana,green,28,abernethy street,,flaxton,2350,qld,,36,07 47839841,8326774,7
6420,monique,anderson,10,benson crescent,,silkstone,4035,nsw,19671210,25,,1388625,0
7600,erin,barber,158,chave street,,marlee,3939,wa,19650415,36,08 05787057,7070096,7
12500,monique,morris,15,devonport street,,currambine,2165,,19930115,30,08 77317384,2440165,5
5420,benjamin,calleja,1,russell street,the knob,upper swan,6210,nsw,19290215,,03 55481534,2791115,0
21520,miranda,purdon,19,bertel crescent,air force memorial est,,2077,nsw,19990914,31,04 41974871,9656860,5
7060,thomas,sutton,23,gilday place,,wagga wagga,3150,sa,19241212,32,08 18786735,8973427,2
6760,amy,rubenhold,52,the verge,,,5280,nsw,19041009,27,03 80317588,7175165,0
6170,gianni,duske,150,davenport street,,norwood,2533,nsw,19310816,26,07 54292553,8398843,5
22480,kane,franks,47,akhurst grove,,clontarf,4870,vic,19860216,33,03 04858143,7215520,2
3710,drew,matthews,32,wakool circuit,,uralla,2194,nsw,19240906,33,08 13069127,1111093,7
5640,thomas,,92,elizabeth crescent,,hackham west,7250,vic,,31,07 65896713,1631733,8
5950,michael,beal,3,newman morris circuit,,warrandyte,2190,vic,19900323,31,03 23998997,3751977,9
24970,victoria,andrew,79,biddlecombe street,springview,rockingham,4814,sa,19430103,35,04 43054856,7312685,5
4750,sebastian,williams,99,wilshire street,,nightcliff,2540,,19920725,25,03 11698790,9738758,6
16550,shanaye,rohig,76,goessling place,pine hill,woody point,3156,wa,19130509,28,04 91857258,5410776,3
12150,alana,van der kroft,1,sanderson close,,victoria point,2142,sa,19020611,42,,2414175,3
780,jacinta,kotsiomitis,27,gurrang avenue,dacre,port lincoln,2156,wa,19070117,,07 33892358,3455624,1
13980,holly,radford,2,henty street,bundaleer,rosetta,,nsw,19831008,,03 80995593,1021010,7
21550,isaac,botta,506,bingley crescent,raafa estate,canley vale,2070,nsw,19800513,30,04 04924865,3182878,7
23980,lachlan,dohnt,18,eyre street,,kincumber,2216,vic,,32,,1742354,4
2830,harrison,thiele,25,moorhouse street,,clayfield,3317,nsw,19340703,41,07 89428733,9210542,8
50,alicia,mackay,17,tanderra crescent,capricorn park,moss vale,4114,,19490831,,03 72558429,2730654,8
6900,sarah,codling,29,cockcroft avenue,bowen therapy academy,beaconsfield,4030,,19880303,27,03 74944292,5525545,9
3690,james,plos,16,federal highway,,nome,3216,vic,19810812,20,07 91083997,1198181,6
21960,mia,bruce,208,marconi crescent,larnach,sulphur creek,2024,qld,19801108,,04 03438504,9484209,7
18050,jordan,gordon,8,de burgh street,willowbend c/park,windermere,5012,vic,,,07 58996125,3764679,0
15760,riley,waye,6,oliver street,,korumburra,3218,qld,19720228,,04 03819309,9300369,3
9620,jessica,smith,4,baldwin drive,,mysterton,2529,nsw,19700701,32,02 30344230,2493418,7
15330,lachlan,pantano,31,enid lorimer circuit,,park avenue,3352,qld,19760205,29,07 01007108,2774563,3
19600,annalise,murray,45,springvale drive,,maroochydore,3805,vic,19270227,31,08 88169666,2454181,5
15060,charlie,dobinson,88,farrer street,,parkside,4205,qld,,27,02 91591671,8043888,0
7030,thomas,johnston,5,lightfoot crescent,,broken hill,3184,nsw,19780318,27,03 66257495,6474654,7
8910,aiden,richards,31,harcus close,,kenwick,2038,nsw,19090703,23,08 69818489,4874947,3
10710,maria,dekker,24,backhouse street,cainbil,bridgewater,2200,nsw,19310226,24,07 33345617,2198759,6
11260,callum,smith,12,barber crescent,,cumberland park,2154,wa,,30,08 21569609,7494382,8
15040,sean,miletic,92,cockle street,brendon park,swan view,4152,nsw,19430215,28,03 41480219,7844044,7
12830,alexandra,cuthill,238,edkins street,,macleay island,2021,qld,19331027,20,07 57151203,7871997,4
13720,crystal,fisher,12,healy street,kanabi,ridgehaven,5214,qld,19320528,,04 53326346,5723457,0
3200,marcus,lillecrapp,62,,,denmark,2478,nsw,19710502,19,03 14153545,1133533,0
7590,tyler,pesch,36,clear street,,burwood east,2642,,19830706,26,04 10646474,3092442,8
1740,sonja,brock,46,sharwood crescent,finniss park,henley beach south,3084,nsw,19750523,31,03 04106807,9742795,6
19630,jack,wickham,20,florence fuller crescent,,kemblawarra,4300,qld,,31,07 72791764,1189541,8
22710,sachin,curran,17,meymott place,,bulleen,2062,nsw,19260910,17,07 26173503,5264384,9
24650,olivia,ryan,6,herschell circuit,pacific haven,mount eliza,,wa,19671020,31,02 26475317,1214535,6
19810,sarah,,13,turner place,deakin court,cunnamulla,2260,nsw,19181119,28,04 09794836,9342810,6
3520,kira,mills,415,herbert crescent,the mews,earlwood,2614,qld,19660530,23,02 88467816,7637259,6
21660,caitlin,young,375,sumner place,tiwi professional suites,new farm,4860,vic,19951210,33,02 56400294,3610538,4
5770,kiara,ashton,25,chirnside circuit,whyteagle,kellyville,6151,wa,,24,07 62298322,4603448,1
7350,kieran,horner,56,mceachern crescent,mosman park,scarness,2151,vic,19630827,28,08 51393586,9592251,4
19830,caitlin,rodgers,8,beaumont close,flt 4,windsor south,6155,vic,19221124,32,03 45110535,2871107,7
3540,jacqueline,brown,44,davenport street,flt 2,macmasters beach,2540,qld,19930609,28,04 37916053,2409479,1
12900,claudia,fletcher,231,de little circuit,,five dock,3462,nsw,19131225,,07 61204923,3498553,1
21560,joshua,griggs,27,gilruth street,cooinda,koondrook,5162,sa,19600629,37,02 60415463,8660301,7
20700,james,baehnisch,31,archibald street,,belmont,2258,qld,19900909,28,08 11351370,8171999,1
5440,jack,wollaston,114,costello circuit,hartbreak,st albans,2747,vic,19771013,26,03 09553541,7375753,4
23180,tara,edgecomb,94,mortimer lewis drive,,kanahooka,2487,nsw,19810324,,08 50326993,6941986,5
